route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"2689","GMB","10P","CAUSEWAY BAY (JAFFE ROAD) - CYBERPORT PUBLIC TRANSPORT INTERCHANGE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2689&lang=EN"
"2690","GMB","22X","POK FU LAM GARDENS - CENTRAL (CENTRAL FERRY PIERS)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2690&lang=EN"
"2692","GMB","39S","ABERDEEN (NAM NING STREET) - SHAM WAN TOWERS(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2692&lang=EN"
"2693","GMB","43M","PARK AVENUE - YAUMATEI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2693&lang=EN"
"2699","GMB","98","TSUEN WAN (HO PUI STREET) - HIGH PROSPERITY TERRACE (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2699&lang=EN"
"2700","GMB","31","TIN WAN ESTATE - ADMIRALTY","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2700&lang=EN"
"2701","GMB","31X","TIN WAN ESTATE - CAUSEWAY BAY (JAFFE ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2701&lang=EN"
"2702","GMB","N31","TIN WAN ESTATE - CAUSEWAY BAY (JAFFE ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2702&lang=EN"
"2703","GMB","86","CRUISE TERMINAL - KOWLOON BAY (TELFORD GARDEN) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2703&lang=EN"
"2710","GMB","73","TAI SHU HA ROAD EAST (NEAR TAI KEI LENG) - YUEN LONG(KAU YUK ROAD)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2710&lang=EN"
"2711","GMB","28S","PAK SHEK KOK (PROVIDENCE BAY) - SHA TIN (PAK HOK TING STREET)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2711&lang=EN"
"2712","GMB","601B","PAK WAI TSUEN - KAM SHEUNG ROAD STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2712&lang=EN"
"2713","GMB","69A","LAGUNA CITY - TUNG CHOI STREET","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2713&lang=EN"
"2715","GMB","77","TIN SHUI WAI - LOK MA CHAU CONTROL POINT","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2715&lang=EN"
"2717","GMB","88F","RAMBLER CREST - TSING YI STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2717&lang=EN"
"2718","GMB","20","SAI WAN HO (GRAND PROMENADE) PUBLIC TRANSPORT TERMINUS - CHAI WAN (FUNG YIP STREET)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2718&lang=EN"
"2719","GMB","26A","THE EDUCATION UNIVERSITY OF HONG KONG - TAI PO MARKET (KWONG FUK ROAD) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2719&lang=EN"
"2720","GMB","23M","KENNEDY TOWN STATION - CHI FU FA YUEN","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2720&lang=EN"
"2721","GMB","58M","BEL-AIR ON THE PEAK - KENNEDY TOWN STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2721&lang=EN"
"2727","GMB","51K","SHEUNG SHUI STATION - LO WU CORRECTIONAL INSTITUTION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2727&lang=EN"
"2728","GMB","51B","SHEUNG SHUI STATION - LIU POK","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2728&lang=EN"
"2729","GMB","12","PO LAM - SHUN LEE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2729&lang=EN"
"2731","GMB","64A","TAI WAI STATION (TSUEN NAM ROAD) - PUI KIU COLLEGE (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2731&lang=EN"
"2732","GMB","61M","WORLDWIDE GARDEN - TAI WAI STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2732&lang=EN"
"2738","GMB","59A","ABERDEEN (TUNG SING ROAD) - SOUTH WAVE COURT","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2738&lang=EN"
"2739","GMB","26W","LAGUNA VERDE - HUNG HOM STATION (P.M. PEAK)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2739&lang=EN"
"2740","GMB","113","THE BEAUMOUNT - HANG HAU (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2740&lang=EN"
"2741","GMB","17M","KOWLOON HOSPITAL - TUNG CHOI STREET","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2741&lang=EN"
"2743","GMB","608","WANG TOI SHAN (PAT HEUNG) - KAM SHEUNG ROAD STATION (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2743&lang=EN"
"2751","GMB","20P","FUNG YUEN - TAI PO MARKET STATION (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2751&lang=EN"
"2752","GMB","20P","FUNG YUEN - TAI PO MARKET STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2752&lang=EN"
"2753","GMB","N4A","ABERDEEN (SHEK PAI WAN) - CAUSEWAY BAY (CANNON STREET)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2753&lang=EN"
