route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"8143","CTB","B3M","深圳灣口岸 - 屯門站(循環線)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=B3M&dsmode=1&l=0"
"8144","KMB","5M","啟德(德朗邨) - 九龍灣站(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=5M&lang=zh-hk"
"8145","KMB","28B","彩福 - 啟德(啟晴邨)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=28B&lang=zh-hk"
"8146","KMB","28S","裕民坊 - 樂華","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=28S&lang=zh-hk"
"8147","KMB","259D","龍門居 - 鯉魚門邨(經屯門市中心)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259D&lang=zh-hk"
"8148","KMB","259D","屯門碼頭(兆禧苑) - 鯉魚門邨","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=259D&lang=zh-hk"
"8155","KMB","277E","天平 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=277E&lang=zh-hk"
"8156","KMB","277P","天平 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=277P&lang=zh-hk"
"8157","KMB","277X","聯和墟 - 藍田站(不經華明)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=277X&lang=zh-hk"
"8158","KMB","277X","華明 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=277X&lang=zh-hk"
"8159","KMB","297P","坑口(北)(將軍澳醫院) - 紅磡(紅鸞道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=297P&lang=zh-hk"
"8161","CTB","962B","屯門(置樂花園) - 金鐘(西)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=962B&dsmode=1&l=0"
"8167","KMB","273A","彩園 - 華明(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=273A&lang=zh-hk"
"8168","NWFB","682A","馬鞍山市中心 - 柴灣(東)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=682A&dsmode=1&l=0"
"8169","KMB","5R","啟德郵輪碼頭 - 觀塘(APM)(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=5R&lang=zh-hk"
"8170","KMB+NWFB","680B","富安花園巴士總站 - 金鐘站(東)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=680B&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=680B&dsmode=1&l=0"
"8172","KMB+CTB","678","上水 - 銅鑼灣","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=678&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=678&dsmode=1&l=0"
"8177","KMB+NWFB","110","筲箕灣 - 尖沙咀(麼地道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=110&dsmode=1&l=0"
"8178","KMB","46P","美田 - 葵芳鐵路站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=46P&lang=zh-hk"
"8179","CTB","99X","鴨脷洲 (鴨脷洲大街) - 西灣河(太康街)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=99X&dsmode=1&l=0"
"8180","KMB+CTB","690","康盛花園 - 中環(交易廣場)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=690&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=690&dsmode=1&l=0"
"8181","NWFB","682P","烏溪沙站 - 柴灣(東)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=682P&dsmode=1&l=0"
"8188","KMB","82P","鑽石山站 - 碩門邨","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=82P&lang=zh-hk"
"8189","KMB","99R","西貢北巴士總站 - 大學鐵路站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=99R&lang=zh-hk"
"8191","KMB","17","九龍灣鐵路站 - 愛民","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=zh-hk"
"8192","KMB","74B","九龍灣 - 大埔中心","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=74B&lang=zh-hk"
"8194","KMB+NWFB","101X","堅尼地城 - 觀塘(裕民坊)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=101X&lang=zh-hk|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=101X&dsmode=1&l=0"
"8201","KMB","2F","慈雲山(北) - 長沙灣","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=2F&lang=zh-hk"
"8202","KMB","273D","上水 - 華明(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=273D&lang=zh-hk"
"8203","KMB","268X","洪水橋(洪福邨) - 西九龍站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=268X&lang=zh-hk"
"8204","KMB","270","天平 - 翠麗花園","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=270&lang=zh-hk"
"8205","NLB","37","逸東邨 - 迎東邨(經松滿路)","3","http://www.newlantaobus.com/route/"
